state,region,year,total_damages_cr,crops_damage_cr,houses_damage_cr,public_util_damage_cr
Goa,Western_Ghats,1959,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1960,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1961,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1962,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1963,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1964,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1965,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1966,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1967,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1968,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1969,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1970,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1971,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1972,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1973,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1974,0.01,0.01,0.0,0.0
Goa,Western_Ghats,1975,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1976,0.19,0.14,0.05,0.0
Goa,Western_Ghats,1977,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1978,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1979,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1980,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1981,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1982,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1983,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1984,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1985,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1986,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1987,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1988,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1989,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1990,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1991,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1992,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1993,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1994,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1995,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1996,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1997,0.0,0.0,0.0,0.0
Goa,Western_Ghats,1998,0.07,0.0,0.07,0.0
Goa,Western_Ghats,1999,1.16,0.56,0.6,0.0
Goa,Western_Ghats,2000,1.96,0.29,0.67,1.0
Goa,Western_Ghats,2001,0.35,0.02,0.33,0.0
Goa,Western_Ghats,2002,0.36,0.0,0.35,0.0
Goa,Western_Ghats,2003,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2004,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2005,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2006,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2007,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2008,0.38,0.0,0.35,0.03
Goa,Western_Ghats,2009,1.48,0.0,1.46,0.02
Goa,Western_Ghats,2010,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2011,1.15,0.62,0.51,0.02
Goa,Western_Ghats,2012,0.57,0.0,0.55,0.02
Goa,Western_Ghats,2013,0.01,0.0,0.01,0.0
Goa,Western_Ghats,2014,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2015,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2016,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2017,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2018,,,,
Goa,Western_Ghats,2019,,,,
Goa,Western_Ghats,2020,,,,
Goa,Western_Ghats,2021,218.63,188.18,30.45,
Goa,Western_Ghats,2022,0.0,0.0,0.0,0.0
Goa,Western_Ghats,2023,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,1953,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,1954,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,1955,3.24,2.8,0.42,0.02
Haryana,Indo_Gangetic_Plain,1956,3.34,3.32,0.02,0.0
Haryana,Indo_Gangetic_Plain,1957,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,1958,7.91,7.3,0.6,0.01
Haryana,Indo_Gangetic_Plain,1959,0.64,0.64,,0.0
Haryana,Indo_Gangetic_Plain,1960,5.38,3.67,1.63,0.08
Haryana,Indo_Gangetic_Plain,1961,3.23,2.96,0.27,0.0
Haryana,Indo_Gangetic_Plain,1962,4.87,3.53,1.33,0.01
Haryana,Indo_Gangetic_Plain,1963,4.35,3.95,0.34,0.06
Haryana,Indo_Gangetic_Plain,1964,12.1,11.13,0.86,0.11
Haryana,Indo_Gangetic_Plain,1965,0.43,0.39,0.04,0.0
Haryana,Indo_Gangetic_Plain,1966,5.72,0.91,0.18,4.63
Haryana,Indo_Gangetic_Plain,1967,18.9,17.49,1.08,0.33
Haryana,Indo_Gangetic_Plain,1968,10.06,9.31,0.71,0.04
Haryana,Indo_Gangetic_Plain,1969,3.6,3.27,0.15,0.18
Haryana,Indo_Gangetic_Plain,1970,0.02,0.01,0.0,0.01
Haryana,Indo_Gangetic_Plain,1971,6.31,5.24,0.96,0.11
Haryana,Indo_Gangetic_Plain,1972,1.03,0.3,0.38,0.35
Haryana,Indo_Gangetic_Plain,1973,0.07,0.02,0.01,0.05
Haryana,Indo_Gangetic_Plain,1974,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,1975,3.96,3.62,0.34,0.0
Haryana,Indo_Gangetic_Plain,1976,37.74,29.71,6.16,1.87
Haryana,Indo_Gangetic_Plain,1977,71.0,56.0,15.0,0.0
Haryana,Indo_Gangetic_Plain,1978,52.81,42.98,7.33,2.5
Haryana,Indo_Gangetic_Plain,1979,0.01,0.01,0.0,0.0
Haryana,Indo_Gangetic_Plain,1980,30.44,20.41,0.72,9.31
Haryana,Indo_Gangetic_Plain,1981,0.35,0.24,0.11,0.0
Haryana,Indo_Gangetic_Plain,1982,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,1983,50.96,32.28,1.61,17.07
Haryana,Indo_Gangetic_Plain,1984,1.93,1.9,0.03,0.0
Haryana,Indo_Gangetic_Plain,1985,73.37,25.6,33.14,14.63
Haryana,Indo_Gangetic_Plain,1986,3.62,2.37,0.25,1.0
Haryana,Indo_Gangetic_Plain,1987,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,1988,422.96,308.43,50.71,63.82
Haryana,Indo_Gangetic_Plain,1989,0.92,0.8,0.08,0.04
Haryana,Indo_Gangetic_Plain,1990,13.57,9.84,2.93,0.81
Haryana,Indo_Gangetic_Plain,1991,0.02,0.02,0.0,0.0
Haryana,Indo_Gangetic_Plain,1992,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,1993,0.0,0.0,0.0,0.0
Haryana,Indo_Gangetic_Plain,1994,26.22,16.62,4.38,5.22
