state,year,rx5day_mm
Odisha,2000,197.142303281844
Odisha,2001,273.6273666485098
Odisha,2002,145.7345072455498
Odisha,2003,200.6599438462983
Odisha,2004,163.1803921085696
Odisha,2005,201.190898270031
Odisha,2006,226.0542635720952
Odisha,2007,231.54989866690096
Odisha,2008,221.36405283767982
Odisha,2009,234.50379230806578
Odisha,2010,181.05537167569733
Odisha,2011,223.38967802996012
Odisha,2012,222.0881090617726
Odisha,2013,171.6819834494774
Odisha,2014,261.2364276494509
Odisha,2015,181.67991864193885
Odisha,2016,170.35038949526682
Odisha,2017,176.26120753105704
Odisha,2018,203.64213015498956
Odisha,2019,220.53881802589396
Odisha,2020,205.35900171240473
Punjab,2000,70.57181689016757
Punjab,2001,89.4486474835827
Punjab,2002,95.88541363151133
Punjab,2003,97.83493711920985
Punjab,2004,61.32719380905659
Punjab,2005,95.02189239536236
Punjab,2006,117.01368578576471
Punjab,2007,65.47211378462268
Punjab,2008,108.7902398798194
Punjab,2009,138.58318344938945
Punjab,2010,100.58471201980733
Punjab,2011,95.02431138478359
Punjab,2012,115.57060750258306
Punjab,2013,115.52648915497147
Punjab,2014,121.09329132386587
Punjab,2015,106.82130557857135
Punjab,2016,74.71530933866606
Punjab,2017,95.9265313272639
Punjab,2018,178.6922292032566
Punjab,2019,98.15975707900941
Punjab,2020,76.48178139050508
Tripura,2000,116.01285041624993
Tripura,2001,157.7587476837731
Tripura,2002,126.74547213843294
Tripura,2003,240.71475066320502
Tripura,2004,240.2637233478454
Tripura,2005,133.05596973429414
Tripura,2006,155.05703112522974
Tripura,2007,172.2600127928378
Tripura,2008,131.84686294126126
Tripura,2009,132.04931514832032
Tripura,2010,95.68374826057985
Tripura,2011,169.3645443596725
Tripura,2012,116.39516134492192
Tripura,2013,118.22693363527189
Tripura,2014,157.16645876396117
Tripura,2015,195.2336121832717
Tripura,2016,120.23625410657785
Tripura,2017,189.60203894852955
Tripura,2018,224.23110625443445
Tripura,2019,109.48843455889906
Tripura,2020,115.76668656479576
Uttar Pradesh,2000,137.25825448236034
Uttar Pradesh,2001,148.86671006125482
Uttar Pradesh,2002,163.67624577270377
Uttar Pradesh,2003,175.58575782218287
Uttar Pradesh,2004,163.77185182134704
Uttar Pradesh,2005,185.98677572224446
Uttar Pradesh,2006,146.45670136973044
Uttar Pradesh,2007,146.41501954239743
Uttar Pradesh,2008,210.60391368432528
Uttar Pradesh,2009,146.0822719956446
Uttar Pradesh,2010,157.34205493118932
Uttar Pradesh,2011,163.20901894817152
Uttar Pradesh,2012,161.02503783389477
Uttar Pradesh,2013,179.52946991466882
Uttar Pradesh,2014,140.24432044286792
Uttar Pradesh,2015,131.00585518262287
Uttar Pradesh,2016,161.3116823220152
Uttar Pradesh,2017,172.95958909926327
Uttar Pradesh,2018,178.795396285772
Uttar Pradesh,2019,190.30298793388036
Uttar Pradesh,2020,143.64726342814035
West Bengal,2000,200.86189340592063
West Bengal,2001,180.36868448512644
West Bengal,2002,228.27626243707252
West Bengal,2003,178.70214793341052
West Bengal,2004,191.8361718688501
West Bengal,2005,193.21974500335398
West Bengal,2006,161.61694823896133
West Bengal,2007,293.3004234913832
West Bengal,2008,219.67457748302186
West Bengal,2009,216.92111155834772
West Bengal,2010,156.28109871927643
West Bengal,2011,268.59311943192824
West Bengal,2012,168.82846690563233
West Bengal,2013,163.64493583096979
West Bengal,2014,219.91339926440838
West Bengal,2015,241.97090344890577
West Bengal,2016,186.6354965554002
West Bengal,2017,259.21648382660106
West Bengal,2018,150.24591288961983
West Bengal,2019,217.56511052638575
West Bengal,2020,176.85140921079488
Arunachal Pradesh,2000,305.0812072760249
Arunachal Pradesh,2001,224.29240761497726
Arunachal Pradesh,2002,342.4037937681538
Arunachal Pradesh,2003,307.25695897884935
Arunachal Pradesh,2004,338.35864038044843
Arunachal Pradesh,2005,223.8367473904515
Arunachal Pradesh,2006,255.43959295241277
Arunachal Pradesh,2007,311.04330474653096
Arunachal Pradesh,2008,259.2640009594733
Arunachal Pradesh,2009,278.2894240644212
Arunachal Pradesh,2010,274.0595139955303
Arunachal Pradesh,2011,218.06495763671026
Arunachal Pradesh,2012,365.96707252009634
Arunachal Pradesh,2013,251.6873691935266
Arunachal Pradesh,2014,294.62356503133276
Arunachal Pradesh,2015,294.7734184813764
Arunachal Pradesh,2016,241.94211716381966
Arunachal Pradesh,2017,301.66479873688945
Arunachal Pradesh,2018,242.1803790729969
Arunachal Pradesh,2019,350.68032323361757
Arunachal Pradesh,2020,319.5564439402365
