region,year,regional_total_cr,deflator_index,regional_total_cr_real_2022
Northeast,2006,277.49,41.2009324749758,673.5041741313478
Northeast,2007,338.01,44.062097550747,767.1219002016612
Northeast,2008,547.3499999999999,48.113153416174,1137.630691685238
Northeast,2009,744.47,51.5004952392024,1445.55891461274
Northeast,2010,1212.01,56.9214532589359,2129.267491619657
Northeast,2011,1211.3,61.8927332933406,1957.095664621958
Northeast,2012,4017.32,66.8035425735272,6013.633177579384
Northeast,2013,893.58,70.9363464075585,1259.692731940288
Northeast,2014,3996.03,73.2997730356476,5451.626702932117
Northeast,2015,2076.89,74.9707059453487,2770.2686987021143
Northeast,2016,169.78,77.3982386243201,219.35899707496918
Northeast,2017,5872.450000000001,80.4703743512893,7297.654630465768
Northeast,2018,5341.06,83.5960370388638,6389.130620530423
Northeast,2019,3563.29,85.6069540558026,4162.383814844389
Northeast,2020,3967.73,89.7288072623215,4421.913230608729
