year,scenario,gmt_mean_c,gmt_p10_c,gmt_p90_c
2007,Hist-ALL,14.463687245566343,14.309086059095904,14.563437110606088
2008,Hist-ALL,14.476494100801467,14.325869895199252,14.606770388902675
2009,Hist-ALL,14.49045256062491,14.359197112200633,14.611735371324698
2010,Hist-ALL,14.522930373941275,14.387648883592618,14.637709010507148
2011,Hist-ALL,14.555372882354744,14.412673264430714,14.703609558181313
2012,Hist-ALL,14.550959652768805,14.397704729571029,14.688235539590455
2013,Hist-ALL,14.566028738863334,14.427266538229429,14.708916512903055
2014,Hist-ALL,14.586855400193555,14.462244718570355,14.707444770056606
2015,SSP2-4.5,14.596438386560596,14.453561762554068,14.77440906626652
2016,SSP2-4.5,14.61997729543961,14.480767074177146,14.727692851979544
2017,SSP2-4.5,14.635831895450947,14.515228094959003,14.772523503868763
2018,SSP2-4.5,14.61817290182939,14.469244417298233,14.80133101519291
2019,SSP2-4.5,14.637658960178438,14.505634279645983,14.729761896177063
2020,SSP2-4.5,14.677114152415312,14.536510219672532,14.816386878538083
2021,SSP2-4.5,14.69740823170647,14.508688531755478,14.85612424572094
2022,SSP2-4.5,14.694190308656495,14.570866895541945,14.797181738100642
2023,SSP2-4.5,14.74888228896992,14.63078517067712,14.921906223529367
2024,SSP2-4.5,14.767643816403831,14.67926903187319,14.922303226579448
2025,SSP2-4.5,14.794862807694999,14.652487043045557,14.970098183248307
2026,SSP2-4.5,14.815502178445747,14.716940242809079,14.92208705829297
2027,SSP2-4.5,14.823204806106288,14.666197435294071,14.987551247949323
2028,SSP2-4.5,14.850057196205233,14.69256959208779,14.99481006236719
2029,SSP2-4.5,14.877869909174064,14.733635705579001,15.01076165576032
2030,SSP2-4.5,14.881180299434856,14.764143945812908,15.023213996644534
2031,SSP2-4.5,14.926724537932627,14.784920830938745,15.078269176215077
2032,SSP2-4.5,14.916904450908216,14.784025492421637,15.075344043638495
2033,SSP2-4.5,14.95277307542883,14.794538521263172,15.106275826938196
2034,SSP2-4.5,14.997862801390292,14.885167704249085,15.122074605171258
2035,SSP2-4.5,14.964171615131981,14.81919155679871,15.08921872224505
2036,SSP2-4.5,14.959730814248559,14.843978853621564,15.066683485384136
2037,SSP2-4.5,15.019571454710997,14.92759186569927,15.131589316709078
2038,SSP2-4.5,15.026544400516146,14.926921296956442,15.139645783897397
2039,SSP2-4.5,15.103625053926928,14.965694656573016,15.272028602928476
2040,SSP2-4.5,15.102199255938155,14.946749136905805,15.24082598981642
2041,SSP2-4.5,15.122480269980576,14.959262242000648,15.293669660949183
2042,SSP2-4.5,15.134705763808629,14.9798318465072,15.260495048527366
2043,SSP2-4.5,15.16064035858538,15.026415422841541,15.330503821847923
2044,SSP2-4.5,15.141753971016975,14.988471319481704,15.275348464909053
2045,SSP2-4.5,15.185489737049133,15.022064965145876,15.316238246542582
2046,SSP2-4.5,15.214806056033067,15.079094050668783,15.36142879843302
2047,SSP2-4.5,15.24895492754677,15.105129900517886,15.413303836497368
2048,SSP2-4.5,15.293579352629333,15.156858311547012,15.402244574217644
2049,SSP2-4.5,15.322150786372442,15.16165820202263,15.457894869117599
2050,SSP2-4.5,15.305704269151654,15.129193759708176,15.533157421315156
2051,SSP2-4.5,15.356157849798116,15.213335499000072,15.584423025987968
2052,SSP2-4.5,15.36487559503817,15.249965544665452,15.519986936306196
2053,SSP2-4.5,15.347750447742287,15.205224248185715,15.456974949032974
2054,SSP2-4.5,15.383246476209479,15.189689369408176,15.530108689274783
2055,SSP2-4.5,15.4080032076939,15.278483917536391,15.558292579992548
2056,SSP2-4.5,15.427621418073482,15.299686630332099,15.539502482188169
2057,SSP2-4.5,15.440668207607237,15.33224825503844,15.560206689917152
2058,SSP2-4.5,15.471354105185746,15.362658836232436,15.598712326353967
2059,SSP2-4.5,15.535207063561325,15.373461497593837,15.729577711402083
2060,SSP2-4.5,15.552307592092179,15.423302873485772,15.67278092054101
2061,SSP2-4.5,15.525398352941076,15.393093013716504,15.66077000725674
2062,SSP2-4.5,15.52509716183909,15.397551959981445,15.653998994513785
2063,SSP2-4.5,15.572269221997992,15.422249214328849,15.735367182364433
2064,SSP2-4.5,15.554187393865044,15.42133729124543,15.691848155300045
2065,SSP2-4.5,15.595759844787208,15.49712173112872,15.700693321270995
2066,SSP2-4.5,15.65508818567155,15.502747479886063,15.784104869102105
2067,SSP2-4.5,15.655931988182187,15.504164121514396,15.784951141969373
2068,SSP2-4.5,15.64426361311362,15.531573057917836,15.776917881700848
2069,SSP2-4.5,15.61485137462429,15.514219706728573,15.702994212195392
2070,SSP2-4.5,15.661423251355162,15.48558544297806,15.813510956687054
2071,SSP2-4.5,15.71809887760857,15.586843390557414,15.91170522965449
2072,SSP2-4.5,15.720277148202024,15.576507290519544,15.851003989804838
2073,SSP2-4.5,15.698775149064693,15.558602780179053,15.872079472830638
2074,SSP2-4.5,15.705285280038188,15.527972960753129,15.841894784249671
2075,SSP2-4.5,15.744455721689203,15.569157817257757,15.893048069459962
